county,er_visits,electrical,garbage,rodent,safety,water_plumbing,violations
manhattan,0.13629283489096572,0.12852664576802508,0.255951282524451,0.1690871369294606,0.3657289002557545,0.14984867498339116,0.41887675507020283
manhattan,0.13317757009345793,0.1018808777429467,0.20446576859199114,0.24170124481327798,0.21483375959079287,0.07115966634679265,0.5234009360374415
manhattan,0.10669781931464174,0.15987460815047022,0.24561727255951285,0.2800829875518672,0.25063938618925835,0.06532811692625674,0.49375975039001563
manhattan,0.12149532710280372,0.10658307210031347,0.24617088023620595,0.1566390041493776,0.26086956521739135,0.17553701926625823,0.297191887675507
manhattan,0.16433021806853582,0.12852664576802508,0.2439564495294335,0.16078838174273857,0.28644501278772383,0.23149036687089394,0.30265210608424337
manhattan,0.17679127725856697,0.10501567398119122,0.16239158516331428,0.2883817427385892,0.2659846547314578,0.07248837380969957,0.38221528861154447
manhattan,0.12227414330218067,0.13009404388714735,0.2317770806421849,0.27593360995850624,0.350383631713555,0.05757732339263305,0.328393135725429
manhattan,0.21573208722741433,0.0768025078369906,0.17826167189518363,0.22095435684647302,0.30946291560102307,0.15988779803646563,0.20670826833073325
manhattan,0.045950155763239874,0.06269592476489028,0.028603063295811037,0.009336099585062239,0.16112531969309465,0.01653502620506385,0.05070202808112325
manhattan,0.02803738317757009,0.012539184952978058,0.0,0.03423236514522822,0.0,0.0,0.03822152886115445
manhattan,0.029595015576323984,0.004702194357366773,0.010518545857169218,0.035269709543568464,0.043478260869565216,0.0008119878939986704,0.0358814352574103
manhattan,0.026479750778816195,0.014106583072100312,0.006458756228086362,0.02904564315352697,0.025575447570332477,0.011663098841071825,0.0
manhattan,0.03582554517133956,0.057993730407523515,0.12566894260933753,0.05290456431535269,0.16112531969309465,0.07418616667896952,0.14898595943837753
manhattan,0.04127725856697819,0.05015673981191223,0.0891308359475918,0.10373443983402489,0.15089514066496165,0.04569277330774341,0.15756630265210608
manhattan,0.045950155763239874,0.048589341692789965,0.11404318139878207,0.09232365145228215,0.17135549872122763,0.027829039639772644,0.1669266770670827
manhattan,0.06074766355140186,0.048589341692789965,0.07879682598265363,0.06327800829875518,0.09718670076726343,0.07868900863659851,0.07722308892355695
manhattan,0.003894080996884734,0.045454545454545456,0.1952389739804392,0.10580912863070539,0.13554987212276215,0.0683546172584336,0.0998439937597504
