zip,er_visits,year,quarter,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
11226,293,2022,2,18,9,0,202,43,1229,41,7,1,2,294,106,82,68,1997,509,705,242
11226,259,2022,3,19,4,0,240,47,1652,51,13,0,2,314,118,85,33,1358,533,681,338
11226,308,2022,4,17,5,0,294,26,1419,34,12,0,0,159,119,35,67,4732,494,740,291
11228,14,2022,1,2,1,10,6,5,642,9,1,0,0,16,16,33,0,244,86,139,40
11228,8,2022,2,3,1,0,14,8,263,3,0,0,1,45,17,38,1,211,107,176,42
11228,15,2022,3,11,3,0,16,6,315,3,5,3,0,44,7,81,1,202,123,186,51
11228,19,2022,4,10,1,0,12,1,315,1,2,1,0,31,13,66,1,451,93,170,32
11229,44,2022,1,3,2,31,50,16,863,5,0,0,0,38,49,82,8,1077,210,267,90
11229,56,2022,2,6,1,0,21,19,486,20,2,0,0,41,19,102,5,420,229,327,92
11229,53,2022,3,11,0,0,22,28,623,25,11,0,2,41,28,89,3,385,287,436,103
11229,64,2022,4,6,1,0,31,22,550,8,5,1,0,24,26,112,1,1006,240,349,90
11230,36,2022,1,12,4,43,98,32,937,8,3,1,0,49,101,63,5,1650,229,264,71
11230,59,2022,2,12,2,0,73,20,894,20,7,0,3,91,68,83,4,668,185,309,86
11230,51,2022,3,8,2,0,70,15,991,38,11,2,5,97,61,68,1,507,194,280,87
11230,58,2022,4,10,4,0,72,14,862,16,5,0,0,62,52,58,6,1790,167,289,69
11231,73,2022,1,13,0,13,30,11,793,3,6,0,0,39,45,42,2,389,169,252,62
11231,104,2022,2,27,4,0,13,14,368,22,13,0,1,74,26,53,2,876,179,323,71
11231,93,2022,3,34,4,0,15,32,371,27,10,0,4,88,36,72,2,211,239,354,83
11231,98,2022,4,18,1,0,10,19,366,16,3,0,0,52,33,49,0,359,202,282,87
11232,NULL,2022,1,12,0,5,10,9,339,6,1,0,0,31,21,24,1,423,190,192,46
11232,NULL,2022,2,19,0,0,9,13,226,17,1,0,0,66,19,20,1,182,158,212,57
11232,NULL,2022,3,15,0,0,17,11,303,21,1,0,1,43,18,51,0,197,142,174,58
11232,NULL,2022,4,19,2,0,20,15,209,5,3,0,0,20,11,17,1,408,112,151,52
11233,261,2022,1,7,5,4,135,11,1126,14,6,0,0,108,87,41,4,1592,431,532,255
11233,307,2022,2,5,5,0,100,23,886,26,1,1,3,143,49,74,4,691,434,627,285
11233,285,2022,3,12,0,0,103,25,1072,38,5,1,3,192,70,182,1,652,479,710,315
11233,289,2022,4,12,2,0,124,7,775,9,6,1,0,117,69,97,4,1530,442,615,295
11234,96,2022,1,11,0,23,41,9,1055,1,6,1,0,44,28,148,2,778,308,402,153
11234,118,2022,2,10,0,0,17,19,522,6,5,0,0,48,19,183,1,361,282,458,194
11234,79,2022,3,10,1,0,25,23,572,14,5,0,2,58,20,168,0,413,435,589,224
11234,113,2022,4,8,5,0,57,13,533,11,6,1,0,34,29,188,1,711,380,642,204
11235,31,2022,1,4,0,34,37,20,694,11,7,0,0,66,37,72,9,1177,314,364,97
11235,39,2022,2,17,3,0,36,34,513,19,5,1,4,110,46,102,11,458,310,401,150
11235,59,2022,3,21,0,0,37,53,695,24,5,0,3,104,49,97,14,590,371,487,168
11235,64,2022,4,10,0,0,50,25,548,20,4,2,0,70,56,148,14,998,328,394,148
11236,242,2022,1,11,1,5,84,15,1108,1,1,0,0,41,48,125,3,978,430,488,237
11236,273,2022,2,6,1,0,87,22,701,6,0,0,2,72,27,182,1,806,397,543,260
11236,208,2022,3,7,0,0,47,26,790,3,1,0,4,71,35,115,7,760,381,579,253
11236,266,2022,4,4,2,0,60,15,831,11,3,1,2,39,34,174,10,1666,342,563,226
11237,87,2022,1,11,2,17,79,41,1067,20,7,1,0,239,78,34,7,861,314,403,109
11237,82,2022,2,13,1,0,65,56,549,35,5,2,0,290,51,44,1,477,356,448,127
11237,97,2022,3,14,2,0,73,56,656,40,9,2,1,213,67,71,2,705,398,440,129
11237,105,2022,4,15,1,0,95,50,540,21,13,0,0,118,61,42,10,993,370,434,126
11238,83,2022,1,40,5,8,42,21,1227,21,7,0,0,166,83,36,2,1070,152,217,109
11238,121,2022,2,26,5,0,41,41,594,66,11,1,1,217,55,46,4,540,181,299,106
11238,104,2022,3,40,7,0,78,34,759,83,23,1,1,222,102,89,4,554,228,286,129
11238,140,2022,4,29,6,0,65,20,538,30,18,0,0,131,62,51,5,1272,179,286,94
11239,NULL,2022,1,0,0,3,26,6,93,1,0,0,0,4,19,2,2,328,145,293,57
11239,NULL,2022,2,0,0,0,10,4,84,0,0,0,4,14,1,6,3,71,143,338,53
11239,NULL,2022,3,0,0,0,9,7,95,0,0,0,1,12,3,10,1,87,173,318,54
11239,NULL,2022,4,3,0,0,5,11,63,4,0,0,0,2,5,1,1,294,182,317,57
11241,NULL,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NULL,NULL,NULL
11241,NULL,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NULL,NULL,NULL
11242,NULL,2022,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL
11249,NULL,2022,1,18,1,14,20,12,364,2,11,0,0,43,23,20,10,359,120,201,58
11249,NULL,2022,2,34,6,0,46,30,247,2,10,0,0,55,15,23,3,222,141,221,52
11249,NULL,2022,3,12,2,0,41,25,283,18,16,1,0,92,20,35,3,341,209,231,62
11249,NULL,2022,4,13,2,0,35,23,227,7,10,1,0,51,25,24,1,359,176,226,47
11354,22,2022,1,8,0,24,18,40,426,10,2,0,0,24,37,33,4,416,293,520,87
11354,38,2022,2,4,0,0,16,37,229,26,2,0,0,38,30,47,5,183,354,649,122
11354,47,2022,3,11,0,0,21,71,298,41,1,0,0,37,57,107,6,226,377,558,103
11354,51,2022,4,7,2,0,17,54,251,91,6,1,0,11,48,60,6,517,369,550,108
11355,39,2022,1,2,1,9,25,76,475,4,5,0,0,35,36,34,7,1041,222,271,84
11355,55,2022,2,6,3,0,28,91,292,8,6,0,0,54,30,51,8,484,288,260,93
11355,58,2022,3,15,2,0,42,203,488,23,3,0,2,49,30,131,2,436,307,286,108
11355,51,2022,4,4,0,0,25,107,295,19,5,1,0,73,21,55,5,1173,276,299,101
11356,NULL,2022,1,1,1,12,15,7,474,1,1,0,0,7,19,35,1,201,75,77,58
11356,NULL,2022,2,2,1,0,6,4,167,6,1,0,2,10,7,39,1,151,83,100,55
11356,NULL,2022,3,5,1,2,9,8,220,10,0,1,1,10,13,56,0,138,79,105,58
11356,NULL,2022,4,2,0,0,13,5,155,6,2,0,0,4,12,39,1,207,93,92,49
11357,55,2022,1,0,2,15,4,7,633,2,4,0,0,13,9,57,3,141,110,271,46
11357,59,2022,2,3,2,1,2,9,257,5,8,0,0,26,12,92,8,194,106,211,46
11357,42,2022,3,5,2,0,5,6,285,8,7,0,4,44,18,290,1,182,121,171,52
11357,58,2022,4,5,2,0,12,7,308,1,7,1,0,21,8,96,2,320,136,161,29
11358,11,2022,1,3,1,13,9,5,705,3,2,0,0,8,10,70,1,276,109,95,47
11358,24,2022,2,3,1,0,5,19,237,7,8,0,0,22,8,77,7,180,106,121,39
11358,11,2022,3,3,1,0,8,4,276,9,5,0,1,16,12,320,5,139,111,104,42
11358,21,2022,4,7,1,0,13,16,255,2,3,0,0,16,11,71,5,516,130,103,49
11359,NULL,2022,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1
11359,NULL,2022,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL
11360,NULL,2022,1,1,0,10,1,1,160,1,2,0,0,0,3,10,0,54,42,39,13
11360,NULL,2022,2,2,0,0,1,3,59,0,0,0,1,3,5,29,0,104,27,36,12
11360,NULL,2022,3,3,0,0,1,7,58,0,2,0,0,2,5,50,0,35,45,32,20
11360,NULL,2022,4,0,0,0,2,2,44,1,2,0,0,4,5,27,3,172,52,37,17
11361,15,2022,1,6,0,22,13,7,600,3,6,0,0,10,6,43,0,183,127,116,32
11361,8,2022,2,16,0,0,4,12,173,4,1,0,1,10,8,66,0,130,129,142,42
11361,9,2022,3,4,1,0,12,4,222,3,3,0,2,35,18,123,1,140,133,110,46
11361,22,2022,4,8,2,0,13,19,215,6,4,0,0,17,9,60,3,280,128,130,35
11362,NULL,2022,1,1,0,5,0,6,254,2,1,0,0,0,2,53,1,99,44,52,16
11362,NULL,2022,2,2,3,0,2,6,71,0,0,0,0,2,6,28,0,50,57,53,23
11362,NULL,2022,3,4,0,0,3,2,79,1,3,1,3,2,7,28,0,80,69,61,15
11362,NULL,2022,4,4,1,0,2,5,68,2,2,0,0,2,6,33,0,60,72,65,18
11363,NULL,2022,1,0,0,0,0,0,109,1,0,0,0,1,2,20,0,72,17,10,7
11363,NULL,2022,2,1,0,0,0,2,50,0,2,0,0,1,2,32,0,26,20,21,15
11363,NULL,2022,3,1,0,0,2,0,45,1,3,0,0,3,2,17,0,28,31,18,17
11363,NULL,2022,4,1,0,0,1,0,57,0,3,0,0,3,1,7,0,55,21,16,5
